Age,Gender,Marital Status,Location,Income,Employment Status,Credit History,Credit Score,Previous Card Usage,Spending Habits,Previous Offer Response,Card Type,Card Interest Rate,Annual Fee,Customer Engagement,Communication Preferences,Target Response
20,Male,Single,Rural,22115,Unemployed,Fair,471,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,22334,Unemployed,Fair,530,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,22823,Unemployed,Fair,368,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,22897,Unemployed,Fair,342,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,23137,Unemployed,Fair,338,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,23273,Unemployed,Fair,539,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,25064,Unemployed,Fair,437,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,25297,Unemployed,Fair,330,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,25666,Unemployed,Fair,363,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,27382,Unemployed,Fair,454,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,28870,Unemployed,Fair,382,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,32733,Self-Employed,Fair,595,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Urban,33800,Self-Employed,Fair,603,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,33861,Self-Employed,Fair,467,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,34781,Self-Employed,Fair,569,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,36141,Self-Employed,Fair,540,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,36851,Self-Employed,Fair,556,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,37734,Self-Employed,Fair,569,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,38415,Self-Employed,Fair,551,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,38740,Self-Employed,Fair,455,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,38754,Self-Employed,Fair,597,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,39009,Self-Employed,Fair,557,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,39109,Self-Employed,Fair,457,Low,Low,No,Visa,20%,100,Low,Email,No
20,Male,Single,Rural,39235,Self-Employed,Fair,485,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,20448,Unemployed,Fair,444,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,21952,Unemployed,Fair,408,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,22092,Unemployed,Fair,326,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,22772,Unemployed,Fair,433,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,23759,Unemployed,Fair,514,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,25344,Unemployed,Fair,464,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,25457,Unemployed,Fair,450,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,25700,Unemployed,Fair,322,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,25797,Unemployed,Fair,450,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,26992,Unemployed,Fair,447,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,27126,Unemployed,Fair,470,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,27586,Unemployed,Fair,428,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,28486,Unemployed,Fair,405,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,28572,Unemployed,Fair,509,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,31886,Self-Employed,Fair,539,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,33490,Self-Employed,Fair,460,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,33699,Self-Employed,Fair,569,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,34444,Self-Employed,Fair,633,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,36489,Self-Employed,Fair,573,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,37725,Self-Employed,Fair,469,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,37907,Self-Employed,Fair,455,Low,Low,No,Visa,20%,100,Low,Email,No
21,Male,Single,Rural,38248,Self-Employed,Fair,560,Low,Low,No,Visa,20%,100,Low,Email,No
